ID,Title,Author,Fiction,Genre,Gender,Origin,Language,Pages,Year Published,Centuries,Nobel Prize,Avg_rating,Num_rating,Num_reviews,URL 
89,The Subtle Art of Not Giving a F*ck,Mark Manson,Non-fiction,Self-help,male,USA,English,212,2016,21st,,3.88,1191317,63431,https://www.goodreads.com/book/show/28257707-the-subtle-art-of-not-giving-a-f-ck
20,Civilization,Clive  Bell,Non-fiction,Philosophy,male,UK,English,157,1928,20th,,3.27,56,13,https://www.goodreads.com/book/show/18341588-civilization
64,Remembering Che: My Life with Che Guevara,Aleida March,Non-fiction,Autobiography,female,Cuba,Spanish,190,2008,21st,,3.86,529,68,https://www.goodreads.com/book/show/13236911-remembering-che
52,Mengemudi Bahtera Perubahan Minda,Mohd Asri Zainul Abidin,Non-fiction,Faith,male,Malaysia,Malay,400,2008,21st,,4.31,80,4,https://www.goodreads.com/book/show/11199705-mengemudi-bahtera-perubahan-minda
36,Hadith: A Re-evaluation,Kassim Ahmad,Non-fiction,Faith,male,Malaysia,English,166,1986,20th,,4.04,67,5,https://www.goodreads.com/book/show/3238261-hadith
94,Tuesdays with Morrie,Mitch Albom,Non-fiction,Self-help,male,USA,English,210,1997,20th,,4.18,1066010,42633,https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie
95,We Are All Stardust,Stefan Klein,Non-fiction,Science,male,German,Germany,288,2010,21st,,4.15,1106,138,https://www.goodreads.com/book/show/16238031-we-are-all-stardust
3,20 Principles,Hassan Al Banna,Non-fiction,Faith,male,Egypt,Arabic,200,1940,20th,,4.35,37,3,https://www.goodreads.com/book/show/8594271-usul-20
97,Why Evolution Is True,Jerry A. Coyne,Non-fiction,Science,male,USA,English,282,2008,21st,,4.19,25223,1059,https://www.goodreads.com/book/show/4005310-why-evolution-is-true
92,Theology of Tariq Ramadan,Gregory Baum,Non-fiction,Faith,male,Germany,English,178,2009,21st,,3.2,10,1,https://www.goodreads.com/book/show/6484202-theology-of-tariq-ramadan
99,Wittgenstein's Conception of Philosophy,K.T. Fann,Non-fiction,Philosophy,male,Hong Kong,English,178,1970,20th,,4.02,52,5,https://www.goodreads.com/book/show/1010282.Wittgenstein_s_Conception_of_Philosophy
57,On Beauty,Susan  Johnson,Non-fiction,Philosophy,female,Australia,English,96,2010,21st,,4.15,13,1,https://www.goodreads.com/book/show/10049534-on-beauty
