State,Shannon_Index
Terengganu,0.18524267309364412
Kelantan,0.2412096082662299
Perlis,0.5386796969469136
Sarawak,0.6486288494216769
Pahang,0.7012569330741649
Sabah,0.7061357475628799
Kedah,0.7410685834781684
Melaka,0.8638345216882921
Johor,0.8965180742274559
Pulau Pinang,0.982331399662216
Perak,0.9831951221665067
Negeri Sembilan,0.9854278792118043
Selangor,1.0187138798490738
Kuala Lumpur,1.01894472462936
