year,song,artist,play_count,Genre,Mood,spotify_url
2017,Shape of You,Ed Sheeran,102,Pop,Happy,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2017,You're Not There,Lukas Graham,100,Pop,Sad,https://open.spotify.com/track/3cdmLOVYY9vht4a1THRJcZ
2017,Say You Won't Let Go,James Arthur,97,Pop,Romantic,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
2017,Scars To Your Beautiful,Alessia Cara,94,Pop,Empowering,https://open.spotify.com/track/0wI7QkCcs8FUQE1OkXUIqd
2017,Weak,AJR,94,Indie,Empowering,https://open.spotify.com/track/3BuLtAmXKy5uQYl4ED1zBT
2017,Million Reasons,Lady Gaga,84,Pop,Sad,https://open.spotify.com/track/7dZ1Odmx9jWIweQSatnRqo
2017,Try,Colbie Caillat,84,Pop,Empowering,https://open.spotify.com/track/0dSchkfNB8SzYj8Bx7bcCW
2017,Everyday,Ariana Grande,72,Pop,Happy,https://open.spotify.com/track/30TmLgK0ja5O8q9l4BShIX
2017,Empty,Olivia O'Brien,71,Pop,Sad,https://open.spotify.com/track/3ze5haYQIPLiNHq3Iahz98
2018,Let You Down,NF,75,Hip-Hop,Angry,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
2018,Sorry Not Sorry,Demi Lovato,52,Pop,Empowering,https://open.spotify.com/track/0yvPEnB032fojLfVluFjUv
2018,Meant to Be,Bebe Rexha,45,Country,Happy,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
2018,Somebody To Love,Queen,35,Rock,Angry,https://open.spotify.com/track/4rDbp1vnvEhieiccprPMdI
2018,Another One Bites The Dust,Queen,31,Rock,Empowering,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
2018,Stressed Out,Twenty One Pilots,31,Pop,Angry,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
2018,Under Pressure,Queen,29,Rock,Empowering,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
2018,Don't Stop Me Now,Queen,28,Rock,Empowering,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
2018,Bohemian Rhapsody,Queen,27,Rock,Empowering,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
2018,Most Girls,Hailee Steinfeld,26,Pop,Empowering,https://open.spotify.com/track/10GJQkjRJcZhGTLagFOC62
2018,Praying,Kesha,26,Pop,Empowering,https://open.spotify.com/track/0jdny0dhgjUwoIp5GkqEaA
2018,I Want To Break Free,Queen,25,Rock,Empowering,https://open.spotify.com/track/7iAqvWLgZzXvH38lA06QZg
2018,Killer Queen,Queen,25,Rock,Happy,https://open.spotify.com/track/4cIPLtg1avt2Jm3ne9S1zy
2018,Crazy Little Thing Called Love,Queen,24,Rock,Happy,https://open.spotify.com/track/6xdLJrVj4vIXwhuG8TMopk
2018,Run the World (Girls),Beyoncé,24,Pop,Empowering,https://open.spotify.com/track/1uXbwHHfgsXcUKfSZw5ZJ0
2019,Anxiety,Julia Michaels,240,Pop,Empowering,https://open.spotify.com/track/1XJ93XskwJf7PCyIVLbNBt
2019,7 rings,Ariana Grande,212,Pop,Happy,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2019,Woke Up Late,Drax Project,164,Pop,Happy,https://open.spotify.com/track/4oPWkP9zQ5ANBbfdHGOvKF
2019,Lelaki,Yuna,115,Indie,Angry,https://open.spotify.com/track/60U4U6oeGKMHJDdUI4ko6L
2019,Never Seen the Rain,Tones And I,108,Pop,Empowering,https://open.spotify.com/track/5zLnA9bO6QXc4AAvCriJfO
2019,Somebody To Love,Queen,105,Rock,Angry,https://open.spotify.com/track/4rDbp1vnvEhieiccprPMdI
2019,Work from Home,Fifth Harmony,72,Pop,Empowering,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
2019,Motivation,Normani,64,Pop,Happy,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
2019,Mother's Daughter,Miley Cyrus,56,Pop,Empowering,https://open.spotify.com/track/4tc97Wa8SP5f9gaaOar8Kq
2019,Layar Impian,Ella,52,Pop,Calm,https://open.spotify.com/track/0qd4BnhqqquTJlTnC4zMis
