year,artist,song,sentiment,sentiment_label,,,,,
2020,Beyoncé,Halo,0.9876,positive,,,,,
2020,Rihanna,Kiss It Better,0.9961,positive,,,,,
2020,Rihanna,Same Ol Mistakes,0.9775,positive,,,,,
2020,Rihanna,Needed Me,-0.997,negative,,,,,
2020,Rihanna,Close To You,0.9869,positive,,,,,
2021,Lady Gaga,Rain On Me,0.9923,positive,,,,,
2021,Demi Lovato,Sorry Not Sorry,-0.9828,negative,,,,,
2021,Zedd,The Middle,-0.9767,negative,,,,,
2021,Beyoncé,Love On Top,0.9997,positive,,,,,
2021,Beyoncé,Irreplaceable,0.8849,positive,,,,,
2021,Ariana Grande,no tears left to cry,0.9882,positive,,,,,
2021,Katy Perry,Never Really Over,-0.5032,negative,,,,,
2021,Anne-Marie,2002,0.9989,positive,,,,,
2021,Dua Lipa,Don't Start Now,-0.9873,negative,,,,,
2021,Ariana Grande,"thank u, next",0.9996,positive,,,,,
2021,G Sette,Black Tattoo - Lonely,0.9296,positive,,,,,
2021,Devis,Chi se ne frega,0.3766,positive,,,,,
2021,Ed Sheeran,I Don't Care,0.9923,positive,,,,,
2021,Beyoncé,Dance for You,0.9948,positive,,,,,
2021,Sam Smith,Dancing With A Stranger,0.9046,positive,,,,,
2022,Sam Smith,Unholy,0.9936,positive,,,,,
2022,W.A.R.I.S,Rembau Most Wanted,0.9276,positive,,,,,
2022,Cardi B,Bodak Yellow,-0.4373,negative,,,,,
2022,Rema,Calm Down,0.9785,positive,,,,,
2022,Stephen Sanchez,Until I Found You,-0.9743,negative,,,,,
2022,ALYPH,SWIPE,0.9905,positive,,,,,
2022,Luqman Podolski,Ring Ring,-0.9906,negative,,,,,
2022,Beyoncé,CUFF IT,-0.9938,negative,,,,,
2022,Luqman Podolski,Sorang,0.9886,positive,,,,,
2022,OneRepublic,I Ain't Worried,0.9876,positive,,,,,
2022,Dewa 19,Sedang Ingin Bercinta,0.9856,positive,,,,,
2022,Lily Allen,Fuck You,-0.9992,negative,,,,,
2022,Lil Nas X,INDUSTRY BABY,0.9969,positive,,,,,
2022,Nicki Minaj,Super Freaky Girl,-0.9974,negative,,,,,
2022,Taylor Swift,Anti-Hero,-0.9948,negative,,,,,
2023,Mahalini,Sial,-0.9902,negative,,,,,
2023,Daniela Andrade,La Vie En Rose,0.9382,positive,,,,,
2023,The Righteous Brothers,Unchained Melody,0.9898,positive,,,,,
2023,Stephen Sanchez,Until I Found You,-0.9743,negative,,,,,
2023,Sarah,Ke Hujung Dunia,0.9918,positive,,,,,
2023,Aina Abdul,Blue,0.9847,positive,,,,,
2023,Giveon,Heartbreak Anniversary,0.8959,positive,,,,,
2023,Saixse,Malampagi,-0.9424,negative,,,,,
2023,Joe Flizzow,Satu Malam Di Temasek,-0.9644,negative,,,,,
2023,Mariah Carey,Touch My Body,0.9988,positive,,,,,
2023,Zynakal,Sakit,-0.9962,negative,,,,,
2023,Amir Jahari,Hasrat,0.9775,positive,,,,,
2023,Tom Odell,Another Love,0.9986,positive,,,,,
2023,Drake,Rich Flex,-0.9991,negative,,,,,
2023,George Ezra,Budapest,0.9844,positive,,,,,
2024,Aina Abdul,Cinta Tak Pernah Tepat Waktu,-0.9791,negative,,,,,
2024,SZA,Nobody Gets Me,0.8752,positive,,,,,
2024,21 Savage,redrum,-0.9807,negative,,,,,
2024,GloRilla,TGIF,-0.9971,negative,,,,,
2024,Kanye West,Homecoming,0.9879,positive,,,,,
2024,DOLLA,best side,0.9992,positive,,,,,
2024,Mariah Carey,Touch My Body,0.9988,positive,,,,,
2024,Ghea Indrawari,Jiwa Yang Bersedih,0.8938,positive,,,,,
2024,Macklemore,HIND'S HALL,0.9371,positive,,,,,
2024,Megan Thee Stallion,Mamushi,0.988,positive,,,,,
2024,Rossa,Takkan Berpaling DariMu,0.9897,positive,,,,,
2024,Hozier,Too Sweet,0.9985,positive,,,,,
2024,Hozier,Work Song,-0.7612,negative,,,,,
2024,Coi Leray,Players,0.9837,positive,,,,,
2024,Ariana Grande,R.E.M,0.9956,positive,,,,,
