Word,Count
youtube,8
thighs,8
sabronzo,8
ways,7
numb,7
walls,7
fighting,7
superhero,7
learns,7
breath,7
push,7
fill,7
weed,7
trees,7
overseas,7
smart,7
moving,7
knowing,7
standin,7
someday,7
diamonds,7
summer,7
grace,7
breeze,7
itd,7
caught,7
page,7
meghan,7
trainor,7
movie,7
chance,7
cd,7
doubt,7
burn,7
mechorus,7
peace,7
cares,7
breathe,7
bodys,7
runnin,7
lick,7
favorite,7
year,7
ed,7
williams,7
anyone,7
coffee,7
ignore,7
beats,7
evil,7
point,7
quite,7
cup,7
judge,7
pride,7
although,7
ohohohoh,7
anytime,7
worse,7
ten,7
yeahchorus,7
bebe,7
hmm,7
solo,7
fears,7
stressed,7
build,7
streets,7
higher,7
caring,7
killer,7
dawn,7
boss,7
bae,7
nasty,7
wizkid,7
du,7
special,7
worked,7
return,7
g,7
ohooh,7
functional,7
convey,7
syasya,7
tabby,7
legs,6
honey,6
write,6
grass,6
interlude,6
sexy,6
glass,6
guy,6
apologies,6
lotta,6
doctor,6
psychology,6
piffing,6
cali,6
dumb,6
luck,6
behind,6
havent,6
car,6
answer,6
memories,6
eye,6
youth,6
huntin,6
season,6
searchin,6
meanin,6
gold,6
relief,6
shouldve,6
command,6
plenty,6
view,6
trip,6
snare,6
hated,6
kickin,6
kissed,6
hailies,6
bullets,6
gun,6
poppin,6
kitchen,6
grew,6
quick,6
tellin,6
selfish,6
children,6
gotye,6
wear,6
shoes,6
scare,6
moved,6
beating,6
fact,6
poured,6
symphony,6
blood,6
blah,6
ladies,6
awards,6
jayz,6
michelle,6
rush,6
front,6
seat,6
missing,6
woods,6
cuff,6
desire,6
sure,6
shines,6
bit,6
crew,6
translate,6
movin,6
glory,6
taylor,6
swift,6
stuck,6
lap,6
drinkin,6
shape,6
discoverin,6
story,6
fair,6
asked,6
heartbreak,6
edge,6
mood,6
figured,6
bein,6
inspired,6
tables,6
rexha,6
works,6
everyday,6
momma,6
david,6
bowie,6
watching,6
degrees,6
wind,6
mia,6
private,6
jeans,6
changin,6
check,6
hood,6
rollie,6
slept,6
hailee,6
steinfeld,6
seems,6
lean,6
camila,6
mothers,6
irrelevant,6
skyd,6
shshake,6
earth,6
upstairs,6
burnin,6
option,6
twisted,6
stops,6
vibin,6
taught,6
sheeran,6
bieber,6
shop,6
murder,6
cream,6
bloody,6
fanta,6
yanga,6
lolololololololowoahwoahwoahwoahwoah,6
unless,6
color,6
soldiers,6
rooting,6
leaving,6
imma,6
secret,6
wrestle,6
curves,6
shouted,6
opps,6
slaughter,6
ew,6
thee,6
instrumental,5
bright,5
shopping,5
bottles,5
dollar,5
bills,5
hunger,5
starts,5
working,5
4,5
makeup,5
shy,5
choose,5
exist,5
bleedin,5
walking,5
says,5
galaxy,5
means,5
grey,5
clouds,5
town,5
read,5
lifes,5
showed,5
lit,5
shine,5
mr,5
knowoh,5
along,5
share,5
theyll,5
scene,5
woke,5
john,5
lovers,5
funeral,5
fresh,5
born,5
sent,5
horse,5
video,5
picket,5
motherfuckin,5
trigger,5
figure,5
prolly,5
leavin,5
teeth,5
sake,5
killed,5
woulda,5
fore,5
prescription,5
mom,5
funny,5
sense,5
sex,5
watchin,5
lift,5
hanging,5
six,5
exactly,5
taking,5
charli,5
xcx,5
ow,5
phone,5
sat,5
telling,5
music,5
shows,5
carter,5
store,5
woman,5
rocket,5
ghost,5
voices,5
singing,5
guitar,5
everyone,5
peter,5
pan,5
since,5
wendy,5
boo,5
whatever,5
serve,5
war,5
harder,5
grind,5
solve,5
vain,5
explain,5
complicated,5
drum,5
club,5
hours,5
fallen,5
bow,5
stare,5
lalala,5
lelelet,5
ground,5
fake,5
burns,5
ball,5
galileo,5
playing,5
fade,5
bear,5
brag,5
noon,5
dinah,5
whiskey,5
lyrics,5
ordinary,5
papapada,5
ear,5
paint,5
patience,5
grateful,5
ex,5
drama,5
justin,5
pop,5
petras,5
mummy,5
daddys,5
clean,5
n9,5
strugglin,5
red,5
alyph,5
tick,5
spaceships,5
eating,5
meal,5
quiet,5
flow,5
haters,5
agrees,5
kuaih,5
suspect,5
interview,5
great,5
neat,5
gently,5
grave,5
crawl,5
grow,4
hoping,4
lololo,4
bus,4
yellow,4
roof,4
safe,4
unknown,4
cocaine,4
skies,4
dip,4
street,4
blows,4
struggling,4
taken,4
7,4
nails,4
promises,4
flows,4
dead,4
green,4
turning,4
glad,4
waste,4
outta,4
tough,4
looked,4
given,4
wall,4
stomach,4
stick,4
cake,4
wild,4
musician,4
oooh,4
brought,4
pourin,4
softly,4
nananana,4
nanana,4
plans,4
arrow,4
lambs,4
careful,4
cryin,4
crying,4
silver,4
walkin,4
split,4
legend,4
week,4
looks,4
spent,4
barely,4
usually,4
hello,4
darling,4
wheres,4
signs,4
kid,4
parents,4
sour,4
months,4
panties,4
stupid,4
shot,4
welcome,4
record,4
someones,4
blew,4
places,4
believing,4
dazed,4
haze,4
pick,4
twilight,4
strike,4
hat,4
midnight,4
prepared,4
written,4
cost,4
satisfied,4
afford,4
wings,4
hips,4
kelly,4
rowland,4
ivy,4
usher,4
none,4
handle,4
bite,4
feelings,4
thoughts,4
bored,4
captain,4
workin,4
pour,4
willin,4
fulfill,4
tap,4
shoulder,4
joy,4
ups,4
downs,4
wanting,4
tiny,4
enjoy,4
shoulders,4
twice,4
sittin,4
happening,4
sonaone,4
worry,4
conversation,4
sheets,4
smell,4
bag,4
plate,4
chest,4
hurtin,4
stopped,4
hol,4
lalalala,4
loyal,4
relax,4
cmon,4
rip,4
blurryface,4
sell,4
ship,4
um,4
screaming,4
matters,4
greatest,4
unstoppable,4
searching,4
known,4
price,4
fever,4
men,4
neck,4
gee,4
thanks,4
normani,4
lauren,4
innovation,4
regular,4
fightin,4
hallelujah,4
swish,4
began,4
embrace,4
earthquake,4
chillin,4
treasure,4
killing,4
tee,4
lately,4
dancin,4
flowers,4
recognize,4
claiming,4
cursing,4
waitin,4
cha,4
flight,4
direction,4
oops,4
irreplaceable,4
shed,4
state,4
case,4
oheeohee,4
eeoh,4
kito,4
player,4
busy,4
expensive,4
comfortable,4
lake,4
rich,4
glitter,4
form,4
gum,4
cam,4
po,4
funk,4
continue,4
hah,4
keeping,4
toe,4
ago,4
rick,4
james,4
dick,4
yup,4
teatime,4
vie,4
en,4
rose,4
anniversary,4
bezel,4
pelangi,4
korang,4
whatsapp,4
uniform,4
flick,4
rendezvous,4
hunt,4
tween,4
yonnyboii,4
zynakal,4
ohohohohohohoh,4
k,4
friday,4
cuzzo,4
kanye,4
min,4
loyoyal,4
spaceship,4
basic,4
palestine,4
darlin,3
beatin,3
memory,3
strings,3
fields,3
glazed,3
buying,3
carts,3
sipping,3
bodyguards,3
gucci,3
boulevard,3
colour,3
float,3
stronger,3
steel,3
match,3
explode,3
wash,3
sand,3
5,3
anythin,3
count,3
bird,3
heal,3
moments,3
holding,3
box,3
acting,3
sees,3
cars,3
jet,3
blessin,3
heels,3
toes,3
stumbled,3
drown,3
blind,3
paid,3
leaves,3
child,3
angels,3
hum,3
raising,3
thatd,3
darkest,3
woe,3
turns,3
sorrow,3
granted,3
regret,3
sooner,3
heavens,3
tells,3
shiny,3
course,3
kings,3
sweeter,3
sin,3
produced,3
flying,3
building,3
youchorus,3
headphones,3
discriminated,3
protested,3
demonstrated,3
wicked,3
rhymes,3
commotion,3
emotions,3
oceans,3
explodin,3
tempers,3
flarin,3
breathin,3
evenin,3
vinegar,3
ridiculous,3
haverse,3
skeletons,3
coffin,3
expose,3
73,3
multiplatinumselling,3
faggot,3
mustve,3
bunch,3
hailie,3
grit,3
smartest,3
ida,3
eminem,3
uhverse,3
diss,3
recognition,3
dissin,3
position,3
envision,3
witnessin,3
pills,3
bitchin,3
purse,3
public,3
housing,3
systems,3
victim,3
münchausens,3
syndrome,3
justify,3
treated,3
nathans,3
growin,3
phony,3
haha,3
ronnie,3
died,3
hehe,3
dead—dead,3
faces,3
school,3
lesson,3
ache,3
locked,3
beneath,3
milky,3
moonlit,3
band,3
fireflies,3
moons,3
sparkling,3
pose,3
hopes,3
role,3
hush,3
amazed,3
likes,3
blown,3
breaks,3
almost,3
bullshit,3
miles,3
62914,3
female,3
album,3
62815,3
711,3
grammy,3
tour,3
flawless,3
remix,3
ii,3
ocean,3
date,3
built,3
shouldnt,3
jump,3
forgiven,3
heat,3
rising,3
olivia,3
obrien,3
gnash,3
learned,3
dad,3
trust,3
closed,3
soon,3
challenge,3
chick,3
fixed,3
hottest,3
strength,3
pure,3
tricking,3
tie,3
hole,3
sideways,3
flexin,3
eleven,3
fresher,3
angry,3
bask,3
wide,3
llie,3
slow,3
magnet,3
celebrate,3
success,3
standing,3
closer,3
breakfast,3
lucky,3
lungs,3
beauty,3
trouble,3
yet,3
sip,3
easily,3
yaaaaa,3
worst,3
worn,3
leather,3
ehh,3
passion,3
rules,3
carry,3
reaction,3
beg,3
doorway,3
ones,3
able,3
remind,3
wed,3
outer,3
space,3
laughin,3
sayin,3
fence,3
tiger,3
burning,3
mister,3
fahrenheit,3
travelling,3
speed,3
supersonic,3
bismillah,3
mamma,3
princess,3
sleeping,3
thunder,3
finished,3
keeps,3
gunpowder,3
gelatine,3
dynamite,3
laser,3
beam,3
guaranteed,3
kept,3
hip,3
gggirls,3
nine,3
five,3
simple,3
yep,3
crib,3
pushed,3
smelt,3
shift,3
ohwoah,3
instead,3
wet,3
honest,3
sugar,3
glow,3
focus,3
extraordinary,3
present,3
wealth,3
sincere,3
rise,3
survive,3
toast,3
toaster,3
ambitions,3
risk,3
everywhere,3
surrounded,3
savin,3
demons,3
regrets,3
describe,3
list,3
blame,3
checking,3
fear,3
rainin,3
mentality,3
cross,3
draw,3
mustang,3
childhood,3
99,3
nobodys,3
patient,3
somebodys,3
droppin,3
addy,3
monang,3
bilo,3
dollars,3
rap,3
bottoms,3
worker,3
chill,3
hang,3
gate,3
woahwoahwoahwoahwoahwoahwoahwoahwoah,3
shawty,3
fingers,3
buss,3
silent,3
tv,3
1999,3
heroes,3
swimmin,3
floods,3
slippin,3
slidin,3
tricks,3
grip,3
lone,3
eak,3
apple,3
custom,3
eeny,3
miny,3
moe,3
gyal,3
directly,3
exhausting,3
antihero,3
speech,3
hungered,3
ridin,3
outside,3
bazir,3
healing,3
flizzow,3
hypnotize,3
hug,3
posting,3
kissin,3
screamin,3
breadcrumb,3
is—,3
aim,3
pm,3
ninetyfive,3
baow,3
sixty,3
fans,3
mwah,3
chi,3
soft,3
oheh,3
wound,3
hoo,3
shh,3
cheeks,2
mysterious,2
fades,2
plan,2
tempt,2
cloudy,2
grows,2
kneehigh,2
mountaintop,2
tin,2
crowd,2
passing,2
reminds,2
sounds,2
sweat,2
bone,2
lions,2
beast,2
belly,2
theyve,2
hits,2
however,2
curl,2
extra,2
mile,2
slim,2
mmmverse,2
mall,2
max,2
credit,2
cards,2
bend,2
mmmchorus,2
phones,2
blowin,2
shame,2
cuts,2
starin,2
ls,2
pass,2
bare,2
text,2
job,2
understood,2
ps,2
crossing,2
paths,2
glance,2
movies,2
style,2
talking,2
clue,2
suit,2
question,2
oldfashioned,2
stood,2
plastic,2
deadverse,2
moon,2
mans,2
planes,2
loans,2
highway,2
stage,2
age,2
daffodils,2
string,2
flower,2
spring,2
fucking,2
wander,2
deepest,2
saviour,2
fallprechorus,2
nanananananana,2
lovechorus,2
window,2
missed,2
fantasies,2
reachin,2
laid,2
damned,2
cupids,2
demandin,2
speck,2
yesterday,2
lion,2
deer,2
andchorus,2
lamb,2
disappeared,2
promised,2
humour,2
giggle,2
everybodys,2
disapproval,2
worshipped,2
mouthpiece,2
sundays,2
bleak,2
poison,2
offers,2
absolutes,2
bedroom,2
lifeverse,2
pagan,2
sunlight,2
goddess,2
demands,2
sacrifice,2
drain,2
meaty,2
main,2
stable,2
starvin,2
faithful,2
tasty,2
hungry,2
masters,2
ritual,2
begins,2
innocence,2
gentle,2
madness,2
soil,2
earthly,2
cleanprechorus,2
hozier,2
rob,2
kirwan,2
directed,2
brendan,2
canty,2
conal,2
thomson,2
rarely,2
wornout,2
early,2
expression,2
dying,2
circles,2
birthday,2
nervous,2
addicted,2
certain,2
rough,2
stoop,2
collect,2
records,2
kimbra,2
reading,2
religion,2
dreamer,2
join,2
restless,2
stayin,2
tree,2
upon,2
tall,2
cried,2
invest,2
slipping,2
seventeen,2
behavior,2
benny,2
blanco,2
pieces,2
happen,2
heres,2
throwing,2
drug,2
heavy,2
cute,2
original,2
zone,2
noprechorus,2
rb,2
112314,2
american,2
soulrb,2
annual,2
mrs,2
—,2
salute,2
festival,2
121313,2
platinum,2
featured,2
91815,2
naughty,2
benjamin,2
121613,2
paris,2
haunted,2
jealous,2
grown,2
madonna,2
lazy,2
honestly,2
chasing,2
gochorus,2
wedding,2
bells,2
cloud,2
admire,2
reassure,2
purposeless,2
provide,2
letter,2
untie,2
shoestrings,2
links,2
feed,2
bathwater,2
supply,2
brush,2
durag,2
footrub,2
manicure,2
youverse,2
fulfillin,2
spirit,2
remain,2
outfits,2
youbridge,2
stole,2
x3,2
uninspired,2
hatred,2
harbour,2
gay,2
racist,2
laces,2
medieval,2
minded,2
approval,2
hateful,2
distastefulchorus,2
slew,2
opinion,2
touchoutro,2
spin,2
leg,2
ahaha,2
bikini,2
sweatin,2
wonderin,2
nicest,2
cab,2
nothings,2
sink,2
strange,2
shining,2
itchorus,2
pursue,2
separate,2
counting,2
shots,2
handmade,2
grab,2
begin,2
taxi,2
radio,2
terrified,2
